username,timestamp,likes,komentar
cookingprosdiy,11/1/2026, 20.19.53,0,"Nadiem harus dikawal oleh seluruh rakyat Indonesia khususnya gojek2 se Indonesia demi keadilan masyarakat Indonesia @purbayayudhi.official @susipudjiastuti115 @riekediahp @ahokkbtp @niluhdjelantik"
nationami,11/1/2026, 20.00.38,0,"susah, orang pemerintah kita ga paham teknologi, pejabat sdm rendah semua, makanya digitalisasi selalu dibilang ga guna, pejabat goblok semua"
ditooberliann,11/1/2026, 19.03.38,0,"Pemerintah isinya melebihi iblis"
anggatrirahwandi,11/1/2026, 17.33.12,0,""
yunik.andayani.58,11/1/2026, 17.21.52,0,"Inilah bobroknya pejabat dinegeri konoha"
robert_laga,11/1/2026, 17.11.43,0,"Satu pesan, teknologi yg dipaksakan tpi negara ini blm siap"
hanya_saya88,11/1/2026, 16.05.03,0,"Penguasa adalah penjahat. Nadiem korban kriminalisasi penguasa Indonesia saat ini."
octaviaa_ss,11/1/2026, 15.48.48,0,"Dalangnya usut ni @jokowi"
b.a_y.u,11/1/2026, 15.18.17,0,"Betul sekali, pernah buka E-katalog milik Pemerintah dan pernah liat juga kalo harga yang ditetapkan Pemerintah harganya benar-benar nggak ngotak untuk spesifikasi seperti itu 😂"
bokashiscales,11/1/2026, 14.41.59,0,"Sy hanya dukung pak tom & bu ira, yg lain khawatirnya memanfaatkan situasi & ngaku2"
jon_pasolang,11/1/2026, 13.11.29,0,"Tahu sendiri kan, mereka yg buat aturannya, karena politik, mereka melanggar aturannya"
gdearista,11/1/2026, 12.43.47,0,"Hemsss e-catalog sih,, tpi kalo pembayaran nya cash.. Kira2 gmna ya?"
mg.indonesia,11/1/2026, 12.24.24,0,"Ketika semua urusan dibawa ke politik, maka pedulilah pada politik. Setidaknya ketika diberi kesempatan memilih pemimpin, pilihlah dengan penuh perhitungan."
noviasumirat,11/1/2026, 12.09.03,0,"Terima kasih Pak @basukibtp pencerahannya. Semoga para pembully Pak Nadiem terbuka matanya🔥"
fitraaft,11/1/2026, 11.44.09,0,"Cdm itu lisensi buat lock aplikasi kan?"
nur03_888,11/1/2026, 11.25.23,0,"Kasus pesanan"
iv_oneby_one,11/1/2026, 11.02.44,0,"Geng oslo + termul, 2 entitas perusak bangsa😂"
iambaiquni_,11/1/2026, 10.55.55,0,""
asihwidayat,11/1/2026, 10.44.13,0,"ingat ya yg salah bukan laptopnya tp harga 2 jta jd 10 jta"
andrean.yuda75,11/1/2026, 10.25.27,0,"Yaa gimana yak namanya juga tumbal"
j_rafael_moms,11/1/2026, 10.22.36,0,"separah itu ya kalo udh jd kambing hitam,,,jelas2 pengadaannya udh di audit bpk,jaksa dll masih juga dikriminalisasi, jd yg audit pengadaan kemarin itu kemana? gak pd ikut di tangkap...sejahat itu negara sm orng baik😢"
sukmasukiman,11/1/2026, 10.09.31,0,"Harus ada kambing hitam"
hartanto.kenz,11/1/2026, 10.02.53,0,"Ga mau bagi2 proyek dengan partai penguasa makanya di kriminalisasi, korupsi di negara ini sudah sistematis dan korporasi, klo ga mau ikut rule mereka pasti  akan jadi tumbal."
williamlimanjaya_,11/1/2026, 09.58.55,0,"Hakimna lulusan pramuka"
massukma,11/1/2026, 09.50.49,0,"Memang benar keperluan negara harus lihat e-catalog. Tapi coba temen2 bandingkab e-catalog dan e-commerce 😁."
novikrl,11/1/2026, 09.33.44,0,"E-katalog, bukannya masih bisa diedit edit harganya? Atau ada persetujuan kalo edit?"
kum_siah,11/1/2026, 09.13.50,0,"Pak nadiem 💔"
kaikosabrina,11/1/2026, 08.54.19,0,"Ane pedagang laptop cmn bilang ha ha ha.. LKPP LAH TKDN LAH TOKO LADANG LAH apalah... Namany oknum minta cashback semua.. Kita pedagang cuan 200 per unit.. Sana malah per unit 1-3 jt... Ta*k"
_be_worth_it,11/1/2026, 08.23.39,0,"Ini vendor di LKPP itu cuma 1...harganya diatas normal, tidak ada opsi lain...Disitu saja sudah salah, jangan media melindungi KORUPTOR. . . Vendor ya ga dipilih menteri lah, orang tersedia cuma 1.."
anak_negeri.konoha,11/1/2026, 08.23.28,0,"wakakakakaka dan sekarang @jokowi diem aje 😂"
irmawati_iir,11/1/2026, 08.12.39,0,"Yg beli laptop siapa yg dituduh korupsi siapa😂😂😂😂"
fairzd_,11/1/2026, 07.56.09,0,""
ananwr__,11/1/2026, 07.22.42,0,"Yang nentuin harga e katalog siapa? Disitu apakah gak mungkin di mark up? 😂"
rayker.1,11/1/2026, 07.01.55,0,"Awalnya dari kasus spesifikasi chromebook yang dinilai gak sesuai dengan harga, banyak perdebatan kalau chromebook dengan spesifikasi yg bisa dibilang minim tapi harga per unitnya sampai 10 juta yang seharusnya harga segitu bahkan bisa dapet laptop yg bagus. Sebenernya awal kecurigaannya di situ meskipun lewat e-Catalog tapi kenapa dipilih itu yg harga dan spesifikasinya dinilai gak sesuai. Makanya dihitung rugi di situ, tapi ntah kenapa malah beda lagi yg diberitain."
steve_batara,11/1/2026, 06.24.27,0,"Ttp bisa dimainkan harganya , tau gak gmn caranya ? Saya bongkar nanti digeruduk lagi sama ""tukang bakso berHT"" 😂😂😂"
hidayat.llah,11/1/2026, 06.18.48,0,"Kebayang betapa sakit hatinya pak Nadiem? Sakit hati banget digini'in chogg"
bouyyo_d_knight,11/1/2026, 06.17.09,0,"YTTA 😂😂😂😂"
rayeno.harold,11/1/2026, 06.12.39,0,"Intinya Nadiem ini kambing hitam, di fitnah org2 jahat... Pikir aja dia dlu pengusaha duitnya gak abis2.. dia lebih Milih jadi menteri.. buat apa dia korupsi dan lain2.. org dlunya duitnya sdh banyak.."
nugraha_suryadin,11/1/2026, 06.03.27,0,"Jadi inget kasus gula"
rendezvous.land,11/1/2026, 03.47.51,0,"Leptop di beli lewat lkpp e-katalog sistem resmi negara, cari sj lkpp e-katalog punya siapa? Jadi  yang Markup harga nya siapa ?"
lifefomofomo,11/1/2026, 02.56.31,0,"ADILI JOKOWI!"
irnawardanii,11/1/2026, 02.48.11,0,"Yg bkin Aceh dna Sumatra banjir ga di adili?"
mr_bles21,11/1/2026, 01.56.56,0,"Ini murni kriminalisasi, negara ini udah darurat parah"
desy22065,11/1/2026, 01.47.24,0,"LAPTOP Nye emang anak sekolah dapet ?"
romualdus_anggit,10/1/2026, 23.50.41,0,"Seru"
mamet.sabarr,10/1/2026, 23.35.19,0,"@jokowi . Jelasin.!"
dhioprastyo,10/1/2026, 23.32.31,0,""
triesnaagung,10/1/2026, 23.18.36,0,"Kasian pak nadiem"
gendhutsutanto,10/1/2026, 22.52.47,0,"Matilah kau Nadim ... Korban  kekonyolan"
coach_ericwilliam,10/1/2026, 22.49.50,0,"Ayoo pak Ahok bantu bongkar otak nya🔥🔥🔥🔥"
gustfh,10/1/2026, 22.28.29,0,"Cek aja semua e-Katalog di Indonesia. SAMPAHH SEMUA 😂"
mesmerizinghuan,10/1/2026, 22.27.44,0,"https://www.instagram.com/reel/DTVZZ2okV5S/?igsh=MWFkczJ1ZDBsN2JsNA=="
