username,timestamp,likes,komentar
jihanjemika,25/2/2026, 08.01.29,0,"Ungkaap semuaa, kebenaran akan menemukan jalannya 🔥"
aisyahharrymurtii,25/2/2026, 07.52.14,0,"Sabar ya Pak Nadiem.. niat Bapak sudah bagus mengabdi untuk rakyat, tapi lingkungan dan tim pemerintahan kita yg kaya tai.. jadi semua bau berlumuran tai 😢😢 Astagfirulloh"
ferdyfe22,25/2/2026, 05.38.49,0,"Semua pejabat sama saja haus duit"
amar_dwjya,25/2/2026, 05.09.12,0,"CEO Intelektual dilawan sama oligarki, salah melawan pebisnis para politisi ini"
dadangref,25/2/2026, 04.38.40,0,"Jebloossss kan semua... Tidk menerima spersenpun karena nrima milyaran😂😂😂perusak kurikulum dpt ganjarannya!!!! 🔥"
jarpul_49,25/2/2026, 04.27.43,0,"Indonesia tanpa korupsi seperti gula tanpa kopi 😂🤣🤣🤣😂"
amarghif,25/2/2026, 04.07.07,0,"Yallah. Lu pake nama nabi tapi kelakuan kek setan. Kena  Adzab lo woy"
andhikagoeng,24/2/2026, 23.18.59,0,"Yang dapet uang jadi saksi, yang ngga dapet uang malah jadi tersangka. Wah kok bisa yaa"
jpyudhi_,24/2/2026, 23.15.14,0,"Namanya Nadiem atau Mas Menteri sih"
axltatipatta,24/2/2026, 23.02.29,0,"GILAK🙏"
andre.as1287,24/2/2026, 22.52.47,0,"Gausa bingung Mas Nadiem, Resiko Jabatan dan sewajarnya Pemimpin yang bertanggung jawab atas segala kegiatan, kebijakan dan keputusan yang dilakukan oleh Kementerian yg Bapak pimpin. Semoga ada hikmah dan hasil yg terbaik utk Pak Nadiem dari proses hukum yang berlangsung"
ibns1955,24/2/2026, 21.48.55,0,"Jakasa masih takut sama Termul."
ibns1955,24/2/2026, 21.48.21,0,"Q"
patinidaa,24/2/2026, 21.11.28,0,"“Rezeki” mereka bilang 😢"
irfansyahfalah211,24/2/2026, 21.05.31,0,"Seru ni"
_kamiel0,24/2/2026, 19.50.39,0,"Ekhem apakabar proyek smart tv"
uyeegeer,24/2/2026, 19.43.07,0,"Paham sekarang separah apa birokrasi pendidikan kita? Pusat sepeserpun tidak dapat apa-apa tapi yg dibawah malah gila-gilaan dapat percikannya yg jumlahmya begitu wow. PR BESAR UNTUK DUNIA PENDIDIKAN."
rahma_yanti_sri,24/2/2026, 19.01.07,0,"Negeri para koruptor"
ben.rumimbo,24/2/2026, 16.58.44,0,"Semoga keadilan ditegakkan"
seblaksellynet,24/2/2026, 14.47.08,0,"Mereka orang2 lama sebelum adanya p.nadiem jadi mentri gag sih..? Ya pantesan klo gitu"
acen_siutjen,24/2/2026, 12.42.08,0,"Ga usah bingung pak...KONOHA ya gitu...ga masuk logika"
wahyu.bt,24/2/2026, 11.08.48,0,"Jangankan negara, tinkat desa aja mau pengadaan laptop ada aja oknumnya.. Wkwk"
hendra.agau03,24/2/2026, 10.51.33,0,"Lo ngapain sidang dan hasil akhirnya tidak di pidanakan yang saksi saki tsb..penentuan yang menentukan di sidang putusan"
yu.lianto7700,24/2/2026, 10.37.50,0,"BERARTI UU NYA YG PASAL BERBUNYI MEMPERKAYA DIRI SENDIRI DAN ATAU MEMPERKAYA ORANG LAIN INI HARUS DIREPISI , AGAR TIDAK NGEPERR, SIAPA YG DPT UNTUNG ITU YG HRS DI HUKUM"
yu.lianto7700,24/2/2026, 10.33.43,0,"Kok aneh"
andresual,24/2/2026, 08.20.34,0,"g ad jkowi jkowinya ?"
gu_zmanx,24/2/2026, 07.56.49,0,"Memang seharusnya hukuman mati sudah mendesak di sahkan dinegeri ini untuk para koruptor, tapi apa mungkin. Mungkin aja kalau sudah dekat akhir jaman"
shanti.utamii,24/2/2026, 06.18.13,0,"Kalo bilang ga tau, bukan nya tahap akhir itu persetujuan nya tetap harus menteri nya ya, kok bisa bilang ga tau"
wachramaraditha,24/2/2026, 05.15.31,0,"Gila negara ini!!!"
farhan.ayyubi,24/2/2026, 05.00.04,0,"Kejaksaan....pffffttttt 🤣 korea bgt"
adityanugraha_ss,24/2/2026, 04.16.35,0,"Next MBG"
eii_yhani,24/2/2026, 04.16.09,0,"Emang begitulah,yg lebih ganas biasanya Ditjen dirjen atau kadin yg banyak Nerima hadiah,mau di kementerian atau Pemkot 😂"
adityanugraha_ss,24/2/2026, 04.14.52,0,"Ya begitulah birokrat kita... Sebelum ke target bajet barang . Di atas sudah di bagi bagi jatah proyek😂.. lagu lama kaset kusut"
ramaqia02,24/2/2026, 03.13.31,0,"MALING !!!"
setiadidicky01,23/2/2026, 23.36.01,0,"Yaaa lu kepala nya pakkk, percuma dong negara gaji mahal klo ga bisa ngurus bawahan"
moeisfirman,23/2/2026, 21.41.49,0,"Ini siih daftar para begal kelas teri, coba telusuri siapa BEGAL KELAS KAKAPNYA,,, JANGAN2 TIDAK TERUNGKAP…. Cc. @official.kpk @kejaksaanri"
humandiks,23/2/2026, 20.11.13,0,"pak, urusin gojek lagi dong pak, makin kesini mitra makin dicekik"
annepratiwi26,23/2/2026, 19.27.21,0,"Orang jujur mmg sering dijerumuskan dlm sistem yg kotor😢"
lia.dewiyanti,23/2/2026, 19.00.56,0,"Accountability pak, karena anda yg paling atas tapi kenapa anda tidak tau anak buah anda sendiri. Jadi meski mereka salah, anda tetap yg accountable krn anda dibayar paling tinggi dan pemegang tgg jawab terbesar"
mayonggafam,23/2/2026, 17.12.18,0,"Seret si jack tuh, biang kerok😂"
iahng,23/2/2026, 17.10.11,0,"saya rasa lbh dr ini..  perasaan ini yg kena cuman yg kecil2. hahhaha"
carma_5867,23/2/2026, 14.04.27,0,"Titipan ini semua"
maria.artanti,23/2/2026, 12.33.30,0,"Berati bapak pengawasannya kurang pak. Kan waktu itu udah dicontohin sama yg sebelumnya ngejabat. Orang yg menjabat sebelum bapak, baca anggarannya dlu. Bawahannya dikasih ultimatum. Aman tu dia, mpe sekarang bisa bukber ma bininya. Bapak si terlalu jauh ambil gap sama staf"
felicitycrafthouse,23/2/2026, 08.53.29,0,"Paraah banget."
victor.aritonang,23/2/2026, 08.14.38,0,"Semangat pak. Kebenaran akan menemukan jalannya"
ismanto.com2020,23/2/2026, 07.26.43,0,"Tetap semangat mas mentri, dan sehat selalu 🙏👍"
m.b.damanik,23/2/2026, 06.27.50,0,"Lihat! Direktur SD dan SMP korupsi, jd yang guru honorer, benar kata Menkeu, akan kalah. Korupsi di sini sudah lebih dari laten, sudah sampai ke nadi masyarakat tingkat RT/RW. Solusinya, Revolusi!"
nujmeeeee,23/2/2026, 04.15.31,0,"cuma 500 JT ruwet bgt sih. tapi tetep aja kurikulum lu ampas pak"
afa.dj,23/2/2026, 04.05.27,0,"wajah pendidikan Indonesia🤡"
pndya17,23/2/2026, 03.03.22,0,"Nadiem bersilat lidah."
shend17,22/2/2026, 23.54.10,0,"🤣🤣"
papaayzi,22/2/2026, 22.31.07,0,"Duit ecek2 yg jadi kambing hitam sementara, percaya lu, penyelewangan cuma segitu?? ini biar kasus selesai aja, aliran duit gedenya ditutupi"
me_2525,22/2/2026, 17.23.46,0,"Semangat mas menteri Allah Maha Adil"
dodo_grandw,22/2/2026, 15.55.09,0,"Saya dukung pak nadim"
sutanhapsari,22/2/2026, 14.02.19,0,"Woi... Brantas Judol aja.. Judol menjamur... Indonesia trade surplus selama 5 th duitnya ke mana? Korupsi? Udh dr dulu.. Nah Judol?? Ini sumber baru malapetaka. Aplg yg disasar masyarakat nengah bawah.. Pemerintah bisa BLOK JUDOL RUPIAH PASTI MENGUAT"
semua_cinta_sepak_bola,22/2/2026, 12.51.40,0,"Emang pada maling semua mental garong"
