username,timestamp,likes,komentar
gilang_arizky,2/6/2026, 09.06.44,0,"Ditetapkan sbg white collar karena ""mereka"" tdk bisa membuktikan apapun, gitu? Enak bener jadi ""mereka"" ya 🤣🤣🤣🤣🤣"
afdal.sati,1/6/2026, 12.08.34,0,"Kerugian negara sudah nyata adanya. Mark upnya 42% diatas harga distributor. Sedangkan untuk pembelian jutaan unit untuk seluruh indonesia, mark-up harganya diyakini lebih 100% dari harga pabrik. Siapa yang harus bertanggung jawab kepada rakyat atas kecurangan tersebut? Jawabnya: tentu pelaku yang terlibat dalam proses pengadaan tersebut."
mordekai620,31/5/2026, 23.27.21,0,"Penjelasan yg baik. Apakah ini semua sudah dipaparkan berdasarkan bukti dgn jelas? Kalau sudah... Kenapa masig begitu banyak pakar hukum membela Nadiem?"
drsetyowidodo,31/5/2026, 19.50.53,0,"Di setiap kementerian ada biro hukum yg mencermati peraturan2 sebelumnya dan silangan/irisan peraturan kementerian lain khususnya bagian memperhatikan, menimbang dan mengingat. Kepmendikbud jg sama. Ini takkan pernah dibuat oleh menteri seorang diri pasal perpasal. Menteri dilaporin lalu membaca dan menyetujui jika dari biro hukum sdh acc dengan kalimat2 di dalam pasal per pasal lalu tandatangan."
loveonthetable_010126,29/5/2026, 12.49.22,0,"Gk usah terlalu mikir mens rea mens realah terlalu berbelit ni kasus. Inikan tuduhannya korupsi, korupsi ya mau bawahan atau atasannya berarti mereka punya tujuan memperkaya diri sendiri, atau mendapat keuntungan atau ada aliran dana ke rek pribadi mereka, dan negara dirugikan. Atau ada unsur money laundrynya menggunakan uang negara untuk membeli keperluan pribadi. Nah skrg negara dirugikan dimananya? Terus pak Nadiem dibilang pegang kekuasaan tertinggi ada gak aliran dana masuk ke dia ke rek pribadi dia?  Kalau bawahannya itu dibilang bersalah, bersalah seperti apa, ada gk pak Nadiem tahu jika bawahananya main kong kali kong dengan pihak lain. (Ini misalnya). Bukti nya apa? Kalau gk terbukti, trus tetap dituntut sampai puluhan tahun ini sih benar2 permainan ""old culture yg kelamaan puasa akibat sisitim"" yang ketakutankah? #sorrytosay"
loveonthetable_010126,29/5/2026, 12.45.11,0,"Gk usah terlalu mikir mens rea mens realah terlalu berbelit ni kasus. Inikan tuduhannya korupsi, korupsi ya mau bawahan atau atasannya berarti mereka punya tujuan memperkaya diri sendiri, atau mendapat keuntungan atau ada aliran dana ke rek pribadi mereka, dan negara dirugikan. Atau ada unsur money laundrynya menggunakan uang negara untuk membeli keperluan pribadi. Nah skrg negara dirugikan dimananya? Terus pak Nadiem dibilang pegang kekuasaan tertinggi ada gak aliran dana masuk ke dia ke rek pribadi dia?  Kalau bawahannya itu dibilang bersalah, bersalah seperti apa, ada gk pak Nadiem tahu jika bawahananya main kong kali kong dengan pihak lain. (Ini misalnya). Bukti nya apa? Kalau gk terbukti, trus tetap dituntut sampai puluhan tahun ini sih benar2 permainan ""old culture yang kelamaan puasa akibat sistim yang dibawa pak Nadiem"" yang ketakutankah? Konoha kalau soal fitnah orang emang jago nya #sorrytosay"
puamerry,29/5/2026, 07.40.54,0,""
zulkifli_dzultan,29/5/2026, 07.01.59,0,"Bgmn dengan program Woosh, IKN, atau lainnya banyak.. Misal woosh kan, didalam anggaran/sistem budgeting ada namanya efisiensi, knpa ngak memilih pihak pengembang program yg lebih murah wktu itu.. Nah klu itu bgmna, itu kan berujung membebani negara dng hutang luar biasa.."
dwisept21,28/5/2026, 21.15.52,0,"Kalo menggunakan logika ini kenapa jokowi masih belum diadili? Serius"
gussval,28/5/2026, 20.57.48,0,"Atasan dari menteri nya g kok g kena? 😂"
zulfiiakmal,28/5/2026, 19.57.43,0,"Cair cair caiirrrr Cek Saldo Min"
shisintan,28/5/2026, 19.21.11,0,"unsur yg Dicari2 pasal kesalahannya, di prosedure nya, dengan hukuman yg diterima ga relevan,😮"
tarisoeryo,28/5/2026, 19.05.12,0,"Hmmm..sudah kuduga"
notyoursbutlimited,28/5/2026, 18.59.58,0,"Kenapa oowi tidak diperiksa? Beliau sendiri mengatakan, tidak ada kebijakan pemerintah 1 pun tanpa sepengetahuan beliau. Dan mereka2 bkn jg menyebut nama oowi namun tdk d panggil."
