username,timestamp,likes,komentar
nnurahh21_,10/7/2026, 07.16.18,0,"Masyaallah 🥀 indonesia teh meni asa riweuh nya atuh nusalah dibenarkan,yang benar dipermasalahkan😭Allahuakbar kasian banget😭"
sak_ibah,10/7/2026, 06.05.49,0,"Serah kan kepada sang Pencipta Allah SWT biarlah Allah yg menghukum mereka yang dzolim dari dunia sampai akhirat dan Karma bagi keturunannya Aamiin"
arkey_wejaeya,10/7/2026, 05.21.33,0,"pendidikan lu obok2,giliran gini nangis2..liat kebelakang kebijakan2 yg kau ubah2.."
aningkurniawati23,10/7/2026, 02.22.58,0,"Gibran wakil presiden priksa juga donk"
irwan.siregar.547727,9/7/2026, 21.07.03,0,"Udah jalani aja ..... Biar ditemani mbah gugel 😂😂😂"
siti_mardiah999,9/7/2026, 20.40.48,0,"Semoga mendapatkan keadilan pak Nadiem"
riatraahmad82,9/7/2026, 16.39.03,0,"Buat petisi bisa gak sih?"
ayyahkhanzaa,9/7/2026, 12.39.36,0,"Salah nya dia masuk ke pemerintahan ."
zeannurzean,9/7/2026, 11.41.29,0,"BISSMILLAH DEMI KEMAJUAN ANAK ANAK DAN PELAJAR SEMOGA ALLAH MEMBERIKAN KELANCARAN DAN SELAMAT SEMUANYA"
intellectual.anarchy,9/7/2026, 09.40.34,0,"Taikkkkkkkkkk cangkemneeee"
otsamus,9/7/2026, 08.19.41,0,"Pendidikan jadi berantakan gara-gara lu bikin kurikulum ngaco"
otsamus,9/7/2026, 08.18.35,0,"Licik woi"
p_vincentt,9/7/2026, 07.45.02,0,"Ke Google aja pak..😭"
boss_cuyu,8/7/2026, 16.50.09,0,"Ya nangis yaaa..💩"
lilik_handononono,8/7/2026, 14.41.11,0,"salah berteman dan mengabdi.....udah tau tukang bohong junjungan pean pak"
rahmaucu14,8/7/2026, 14.27.23,0,"Semoga Allah membantu mu pak sampai selesai masalah ini 🙏doe terbaik buat bapakkk di sana"
aditdwii308,8/7/2026, 14.18.34,0,"Cengeng😂"
mangunimudabasketball_mykly,8/7/2026, 12.05.55,0,"Logikanya simple aja.... TRANSPARANSI ANGGARAN KELUAR MASUK YG JELAS & DIPUBLIKASI KE MASYARAKAT... SAMPAI SAAT INI TIDAK ADA YG BERANI... 😂"
jana.sujana,8/7/2026, 09.08.13,0,"Semoga pemerintah terus menggerus para koruptor yg semakin canggih/pintar. Jaksa/KPKpun harus makin pintar/canggih. Semoga Indonesia makin makmur/sejahtera tanpa korupsi."
fennyfinatra,8/7/2026, 07.18.37,0,"Minta tlg ke Allah pak, semoga Allah memberikan yg terbaik"
sri_jan02,8/7/2026, 06.58.33,0,"Allah tidak tidur pak siapapun yg dzolim inshaallah akan ada balasan nya tunggu balasan itu pak saya slalu berdoa untk bpk😢"
allanvigiyant,8/7/2026, 04.53.56,0,"Minta RUU PERAMPASAN ASET di sahkan tapi ada orang korup ttep di belaa..gati rakyat aja @prabowo ,,, Tom lembong aja diem ga koar²,, si nadiem mah brisik bngt dah nyari pembelaan,,tinggal diem kaya tom lembong sapa tau nanti di tolongin sama pak Prabowo xixix😂"
machdin.sjam,8/7/2026, 04.36.11,0,"Nepal... Nepal.... Nepalkan  sj"
seriati_balirante,8/7/2026, 03.39.28,0,"Tambah hukumannya"
ephy_diksusiii,7/7/2026, 23.40.08,0,"Semoga yg baik Tuhan beri keadilan"
asiaafrika3102,7/7/2026, 23.20.50,0,"Minta tolong ke Tuhan Dia tahu saat dimana kebenaran psti terungkap 🙏🙏🙏"
grmylld_,7/7/2026, 22.57.53,0,"pakkk tetap semangatt yaa kami cinta sama bapakkkk,besokkk kita bareng bareng tuntut merekaa ke pengadilan akhirat yaa pakk😭😭💔💔💔"
aisiti.anisah,7/7/2026, 20.13.29,0,"pa nadiem yakin Allah bersamamu, Allah akan mengabulkan do’a orang2 yang terdholimi 🤲"
katrina_ceksi,7/7/2026, 19.00.11,0,"Revolusi kan...🔥"
rezhafarandi16,7/7/2026, 18.42.45,0,""
kurniawan_braga,7/7/2026, 18.23.15,0,"Koruptor banding? Gak tau diri"
bambangastrajingga7853,7/7/2026, 15.54.10,0,"panggil dulu juris tan pa nadim?"
cornelius_andro_hermawan,7/7/2026, 15.47.09,0,"Ke club LGBT bang😂"
androzsanz,7/7/2026, 13.36.52,0,"Korupsi duitnya dimakan sendiri masa minta dukungan rakyat , klo maling karena lapar pasti didukung lahh 😊😊"
jajangwarganugraha,7/7/2026, 13.08.26,0,"A ya A, B ya B,  tidak usahcari2 simpati,"
brian.arrr,7/7/2026, 12.52.58,0,"Minta tolong sama google"
husnalukman2026,7/7/2026, 12.47.25,0,"Ini akibat tergiur jabatan dari Raja Solo. Coba anteng urus Goto (Gojek dan Tokopedia). Sekarang Tokopedia diakusisi Tiktok, 90% karyawan Tokopedia sdh di-PHK Tiktok. Entah gimana nasib Gojek nanti. Muhasabah diri Pak Nadiem, minta ampun sm Allah dan mohon pertolongan hanya pada Allah... 😢"
johnowen2791,7/7/2026, 12.36.40,0,"Genk solo yg berkuasa"
fideliamarsya,7/7/2026, 12.35.55,0,"Kalo kami yg minta keadilan karena anak² susah masuk sekolah negeri perkara TKA dan segala peraturan yg kau buat itu bagaimana nad ???"
nikenoktasari92,7/7/2026, 12.11.57,0,"Smngt pakkk doa kami untuk mu"
titi.lope89,7/7/2026, 12.00.09,0,"Minta sama Jkw kan dia yg mengkambinghitamkan anda😢"
si_cuplis_,7/7/2026, 11.49.55,0,"Benerin dl gererasi yang lu rusak.😂😂😂"
suciana._,7/7/2026, 11.38.52,0,"Org Korup di bela masyarakat Indonesia. Gilda mmg😭"
putranandar13,7/7/2026, 11.21.00,0,"Dulu murid2 juga gk tau mau minta tolong sama siapa...."
adibojez.68,7/7/2026, 10.10.27,0,"Yah jadi ingat kurikulum merdeka"
aqimudinn,7/7/2026, 10.05.48,0,"Beliau kan @jokowi yg ngajak gabung"
pndya17,7/7/2026, 09.46.18,0,"Maling ya maling"
boty_hunter12,7/7/2026, 09.08.21,0,"Halaahhhh menggalang narasiii... Jgn mau dibodoh""in nadiem.. Mensrea nya sudah jelas bersalah.. Kok dibela.. Kacau juga warga +62... 😂😂😂"
lusianatjialumempouw,7/7/2026, 07.47.27,0,"TUHAN Membelamu 🙏🙏🙏"
whatshittoya88,7/7/2026, 07.46.56,0,"YA MINTA TOLONG KE TUHAN YANG MAHA ESA LAH BAPAAAAAK ADEEEUUUUUUUH 😢🥀"
xxtrsz12,7/7/2026, 06.41.08,0,"Bapaknya seorang nono anwar Makarim, dan anaknya bilang ""saya gatau harus minta tolong ke siapa"" 😕 hmmmm... Maksd saya, mending banding aja. Fokus di strategi banding, atau ini salah satu strategi nya?"
rachio630,7/7/2026, 06.39.56,0,"Kalau bpk nggk terbukti, berarti bpk nggk salah.. Memang bpk pernah berjalan, tpi.... Klau ada kesalahan lain dan terbukti gimana lagi?"
septy7487,7/7/2026, 06.06.13,0,"Negara busuk"
64.038960,7/7/2026, 05.57.44,0,"udh tau salah maai bacot ketika makan uanh y gakbberisik"
untung_vocus,7/7/2026, 05.31.37,0,"Lo teriak aja siapa yg Lo kasih duit korupsi"
mgarneto1,7/7/2026, 05.17.00,0,"kalau Punya Bukti tunjukan aja"
aan.deanmichael,7/7/2026, 00.56.54,0,"Lewat dulu pak"
aayyamin_,7/7/2026, 00.21.34,0,"Koruptor kok dibela, mereka sebenernya cuma kesel sama prabowo, makanya ada koruptor dibela😂😂😂😂. Buzzer muncul sini"
ningsih12tria,6/7/2026, 23.44.39,0,"Semua komen ngedukung koruptor yg makan uang rakyat, mau di bawa kemana negri ini parah negri konoha"
anggrajunestian,6/7/2026, 23.34.28,0,"Ngapain itu pake baju gojek"
july_art_hutawest,6/7/2026, 23.23.31,0,"Aku ga suka laki banyak drama"
reza662020_,6/7/2026, 22.10.51,0,"Masih dipenjara doank , itu gak adil. Kalo mau keadilan. Koruptor kayak loe yah dihukum mati"
xxram270,6/7/2026, 21.58.20,0,"Bacyot"
wennynvtsr,6/7/2026, 20.59.20,0,"wkwk"
pasca_manurung,6/7/2026, 20.55.55,0,"Tuhan lah yang tau kau ada niat korupsi apa enggak. Aku sih gk tau, tapi perasaan ku berkata lain"
753_ah,6/7/2026, 20.49.15,0,"Sudah terbukti korup masih saja menyangkal..🙏"
anen_rizal88,6/7/2026, 20.45.19,0,"Minta bantu ke JOKOWOW LAH, YG KAU AGUNG2 KAN,  ke masyarakat ya gak mungkin, pas jadi menteri aja gak pernah mewek, lihat pendidikan di daerah ancur juga senyum2 aja, sekarang dikit mewek2, minta bantuan JOKOWOW boss, pasti...dah ... Di diemin aja😂"
egialdison,6/7/2026, 20.42.14,0,"Koruptor dibela lucu"
rozanaroslan,6/7/2026, 20.20.04,0,"💔💔"
yuniethomas,6/7/2026, 20.01.20,0,"Kejujuran itu memang pahit pak... 💔🔥😭"
irfan_nawari,6/7/2026, 19.52.17,0,"Buka mata dan telinga pak. Jangan cuma sibuk sama bisnis haram bapak.. @prabowo"
anuncawa,6/7/2026, 19.21.06,0,"Negara sekarat keadilan."
saronjuntak,6/7/2026, 19.12.28,0,"Kamu itu orang Pintar Pak.maaf lain kali jangan masuk di bagian pemerintahan pak.orang jujur tak berarti di pemerintahan kita Pak."
diansartika56,6/7/2026, 19.04.19,0,"Selain minta pertolongan ke tuhan..minta pertolongan juga ke orang orang yang bapak hubungi pada saat bapak mau di angkat jadi pejabat dan masih menjabat kemarin pak"
soedapp,6/7/2026, 18.31.18,0,"Ada mas ..ke Alloh Azawajalla. Inn syaa Alloh pertolongan akan datang dengan cara yg tidak kita duga"
dimy.inc99,6/7/2026, 18.17.51,0,"Kalau benar sprt itu kpk perlu di proses hukum juga.."
aliaaa2406,6/7/2026, 17.40.42,0,"Semoga Allah SWT melindungimu pak🤍☄️"
sengkuni_3179,6/7/2026, 17.31.49,0,"Minta tolong ke jokowi"
baaaaaamb81,6/7/2026, 17.30.19,0,"Memberi lapangan kerja unt 3jt driver atau dicarikan uang tiap hari oleh driver??"
tresna4802,6/7/2026, 16.34.27,0,"Yang bermanfaat di babat,yang merusak di pelihara,hukum macam apa"
johansytrgn,6/7/2026, 16.13.38,0,"Tuhan sudah menunjukkan jalannya 😇😇"
armadillo.6031825,6/7/2026, 15.57.37,0,"Hanya Alloh yang tahu ini drama apa bukan"
sahrul0810,6/7/2026, 15.55.54,0,"Sama tuhan aja ga percaya dia 😂😂😂😂"
khaledal.waled,6/7/2026, 14.58.52,0,"😢Kami bersama bapak karena bapak benar dan Allah mudahkan pak"
michael_sanger888,6/7/2026, 14.42.38,0,"FREE NADIEM MAKARIM !! >>>>>>>>"
elshanum_0703,6/7/2026, 14.29.50,0,"Pertolongan Allah tidak akan pernah terlambat."
tarinocut,6/7/2026, 14.22.53,0,"Wamakaru wamakarullah  kata ustad,, sehebat mereka membuat makar Allah buat makar jauh lebih besar dari yg mereka kira. Minta ke Allah pak"
moyazha9,6/7/2026, 14.18.51,0,"Pak jangan nangis.. Airmatamu sangat berharga😭😭😭😭"
